baserent,balcony,noparkspaces,haskitchen,cellar,livingspace,petsallowed,condition,geo_krs,lift,norooms,floor,garden,energyefficiencyclass
1472.26,True,1.0,False,True,82.02,negotiable,first_time_use,M?nchen,True,3.0,3.0,False,B
549.0,True,1.0,False,True,47.73,no,first_time_use,Mettmann_Kreis,True,2.0,1.0,False,A_PLUS
685.23,True,1.0,False,True,65.26,no,first_time_use,Aichach_Friedberg_Kreis,True,2.0,1.0,False,A_PLUS
1390.0,True,1.0,True,True,96.0,no,first_time_use,B?blingen_Kreis,False,4.0,2.0,False,A_PLUS
985.0,True,1.0,True,True,94.0,negotiable,first_time_use,Harburg_Kreis,True,2.0,2.0,False,A_PLUS
1300.0,True,1.0,False,True,105.37,no,first_time_use,Bielefeld,True,3.0,0.0,False,B
922.13,True,1.0,False,False,83.83,negotiable,first_time_use,Oberhavel_Kreis,False,2.0,0.0,True,B
682.75,True,1.0,False,True,60.96,no,first_time_use,Dresden,True,2.0,6.0,False,B
1260.0,True,1.0,False,True,95.0,no,first_time_use,F?rstenfeldbruck_Kreis,False,2.0,2.0,False,A
675.0,True,1.0,False,False,90.0,negotiable,first_time_use,Salzlandkreis,True,2.0,2.0,False,A
1650.0,True,1.0,False,True,127.0,negotiable,first_time_use,Magdeburg,True,3.0,1.0,False,B
794.24,True,1.0,False,False,72.34,negotiable,first_time_use,Gro?_Gerau_Kreis,True,2.0,3.0,False,B
2300.0,True,1.0,True,True,115.0,no,first_time_use,K?ln,True,3.0,5.0,False,A_PLUS
2655.0,True,1.0,True,True,102.51,negotiable,first_time_use,M?nchen,False,3.0,2.0,False,A_PLUS
1190.0,True,1.0,True,True,108.0,negotiable,first_time_use,Pinneberg_Kreis,True,4.0,2.0,True,A
1151.0,True,2.0,False,False,121.0,no,first_time_use,Peine_Kreis,False,4.0,1.0,False,A
894.71,True,1.0,False,False,94.18,no,first_time_use,Recklinghausen_Kreis,True,3.5,0.0,True,B
938.7,True,1.0,False,False,93.87,negotiable,first_time_use,Cottbus,True,3.0,1.0,False,A
770.0,True,1.0,False,False,70.0,negotiable,first_time_use,Dresden,False,2.0,1.0,True,A_PLUS
680.0,True,1.0,False,True,68.0,negotiable,first_time_use,Main_Kinzig_Kreis,True,2.0,1.0,False,B
892.0,True,1.0,True,True,83.0,no,first_time_use,Segeberg_Kreis,True,2.0,3.0,False,A_PLUS
1128.5,False,1.0,False,False,61.0,negotiable,first_time_use,F?rstenfeldbruck_Kreis,True,2.0,1.0,False,A
830.0,True,1.0,True,True,57.28,no,first_time_use,Rems_Murr_Kreis,True,2.0,1.0,False,B
750.0,True,1.0,False,True,62.09,no,mint_condition,Pfaffenhofen_an_der_Ilm_Kreis,False,2.0,1.0,False,B
1175.84,True,1.0,True,False,106.71,negotiable,first_time_use,Leipzig,True,4.0,2.0,True,D
1341.81,True,1.0,False,True,72.53,negotiable,first_time_use,M?nchen,True,2.0,1.0,False,B
825.0,True,1.0,False,True,92.46,negotiable,first_time_use,Paderborn_Kreis,True,3.0,3.0,False,B
1715.0,True,1.0,True,True,123.43,negotiable,first_time_use,Hamburg,True,4.0,2.0,True,B
840.0,True,1.0,False,False,65.91,no,first_time_use,Ludwigsburg_Kreis,True,3.0,2.0,False,A_PLUS
1100.0,True,1.0,True,True,44.0,no,first_time_use,M?nchen,True,2.0,1.0,False,B
755.0,True,1.0,False,True,71.78,negotiable,first_time_use,M?nchengladbach,True,2.0,2.0,False,A
1330.0,True,1.0,False,True,115.0,negotiable,first_time_use,Aschaffenburg,True,4.0,1.0,False,B
555.0,True,1.0,False,False,58.0,negotiable,first_time_use,Osnabr?ck,True,2.0,3.0,False,A
761.0,True,1.0,False,False,101.49,negotiable,first_time_use,Herford_Kreis,True,3.0,1.0,False,A
990.0,True,1.0,False,True,82.96,negotiable,first_time_use,Wetteraukreis,True,3.0,1.0,False,B
442.08,True,1.0,False,False,98.24,negotiable,first_time_use,Rosenheim_Kreis,True,4.0,0.0,False,B
1100.0,True,1.0,True,True,50.0,no,mint_condition,Ebersberg_Kreis,True,2.0,1.0,True,B
830.0,True,1.0,True,True,63.0,negotiable,first_time_use,Main_Taunus_Kreis,True,2.0,1.0,False,B
667.0,True,1.0,True,True,50.0,negotiable,first_time_use,Miesbach_Kreis,True,1.0,1.0,True,B
820.0,True,1.0,False,False,92.9,negotiable,first_time_use,Hannover_Kreis,False,3.0,1.0,False,A_PLUS
775.0,True,9.0,False,True,77.7,negotiable,first_time_use,M?nchengladbach,False,2.0,1.0,False,A_PLUS
1720.0,True,2.0,True,True,132.0,no,first_time_use,B?blingen_Kreis,True,4.0,3.0,False,A
648.0,True,1.0,False,True,77.2,no,first_time_use,Regensburg,True,3.0,0.0,False,A
2096.0,True,1.0,True,True,127.0,negotiable,first_time_use,Wetteraukreis,False,4.0,0.0,True,A_PLUS
1095.0,True,1.0,False,True,90.0,no,first_time_use,Essen,True,3.0,2.0,True,A_PLUS
1198.32,True,1.0,True,True,98.8,yes,first_time_use,Leipzig,True,4.0,2.0,False,C
906.0,True,1.0,True,True,95.2,negotiable,first_time_use,M?hldorf_am_Inn_Kreis,True,3.0,3.0,False,A
863.9,True,1.0,False,False,101.64,negotiable,first_time_use,Chemnitz,False,3.0,1.0,True,B
1005.0,True,1.0,False,True,88.0,negotiable,first_time_use,Ortenaukreis,True,4.0,2.0,False,B
1445.0,False,1.0,False,False,85.0,negotiable,first_time_use,F?rstenfeldbruck_Kreis,True,3.0,1.0,False,A
1337.83,True,1.0,True,True,100.74,yes,first_time_use,Leipzig,True,4.0,3.0,False,B
770.0,True,1.0,False,True,83.14,negotiable,first_time_use,Bodenseekreis,True,3.0,2.0,False,A
790.0,True,1.0,False,False,71.0,no,first_time_use,Bochum,True,2.5,2.0,False,A_PLUS
1950.0,True,1.0,False,True,155.0,negotiable,first_time_use_after_refurbishment,Bad_T?lz_Wolfratshausen_Kreis,False,4.0,1.0,False,A
1900.78,True,1.0,True,False,110.19,negotiable,first_time_use,Berlin,True,3.0,0.0,False,B
815.0,True,1.0,False,True,81.5,negotiable,first_time_use,Leipzig_Kreis,True,2.0,0.0,False,A
885.36,True,1.0,False,False,104.16,negotiable,first_time_use,Unna_Kreis,True,3.0,2.0,False,A_PLUS
1470.0,True,1.0,False,False,128.0,negotiable,first_time_use,Bonn,True,4.0,1.0,True,A_PLUS
1640.0,True,1.0,False,True,130.29,negotiable,first_time_use,Bochum,True,3.0,1.0,False,A_PLUS
2352.0,True,1.0,False,True,112.0,no,first_time_use,M?nchen,True,4.0,1.0,False,A
700.0,True,1.0,False,True,52.4,no,mint_condition,Essen,True,2.5,1.0,False,A
770.0,False,1.0,False,False,70.0,no,first_time_use,Freising_Kreis,False,3.0,1.0,False,A_PLUS
1470.0,True,2.0,True,True,113.02,negotiable,first_time_use,T?bingen_Kreis,True,2.5,0.0,False,A_PLUS
1742.4,True,1.0,True,True,105.6,negotiable,first_time_use,Berlin,True,3.0,5.0,False,C
1233.0,True,1.0,True,True,112.0,no,mint_condition,Augsburg_Kreis,True,3.0,2.0,False,A
1980.0,True,2.0,True,True,140.1,yes,first_time_use,Esslingen_Kreis,True,4.5,0.0,False,B
530.0,False,1.0,True,True,58.0,negotiable,first_time_use,Worms,True,2.0,0.0,False,A
2616.13,True,1.0,True,False,140.28,negotiable,first_time_use,Berlin,True,3.0,0.0,True,C
785.0,True,15.0,False,True,92.0,no,first_time_use,Dingolfing_Landau_Kreis,True,3.0,1.0,False,A
1640.0,True,1.0,False,True,80.0,negotiable,first_time_use,M?nchen,True,2.5,0.0,True,A_PLUS
1265.62,True,1.0,True,True,98.12,yes,first_time_use,Dresden,True,3.5,2.0,False,B
1135.0,True,1.0,True,True,95.71,negotiable,first_time_use,Mannheim,True,3.0,4.0,False,B
1424.13,True,1.0,True,True,113.93,yes,first_time_use,Leipzig,True,5.0,2.0,True,B
1199.0,False,1.0,True,False,121.36,negotiable,mint_condition,Leipzig,False,4.0,4.0,False,A
1130.0,True,1.0,True,True,104.5,no,first_time_use_after_refurbishment,Pforzheim,True,3.5,4.0,True,B
806.0,True,1.0,True,True,80.59,no,first_time_use,Stade_Kreis,True,3.0,2.0,False,A_PLUS
1277.0,True,1.0,True,True,91.2,no,first_time_use,Unterallg?u_Kreis,True,2.0,2.0,False,C
1061.91,True,1.0,True,True,78.66,yes,first_time_use,Leipzig,True,3.0,5.0,False,B
760.0,True,1.0,False,True,63.0,no,first_time_use,Rhein_Neckar_Kreis,True,2.0,3.0,False,B
1780.0,True,2.0,False,True,180.0,negotiable,mint_condition,Aachen,False,4.0,2.0,False,B
810.0,True,2.0,False,True,90.0,negotiable,first_time_use,Marburg_Biedenkopf_Kreis,True,4.0,2.0,False,C
790.0,True,1.0,False,True,79.1,no,first_time_use,Bochum,True,2.0,0.0,False,B
1080.0,True,1.0,False,False,102.45,no,first_time_use,Dresden,True,4.0,6.0,False,B
660.0,True,1.0,False,True,86.0,negotiable,first_time_use,Osnabr?ck_Kreis,True,3.0,0.0,True,A
950.0,True,2.0,False,False,105.0,no,first_time_use,Neunkirchen_Kreis,True,3.0,1.0,False,A_PLUS
900.0,True,1.0,False,False,78.12,negotiable,first_time_use,F?rstenfeldbruck_Kreis,False,2.0,1.0,True,A
2360.0,True,1.0,True,True,142.77,negotiable,first_time_use,Frankfurt_am_Main,True,4.0,5.0,False,A_PLUS
730.0,True,1.0,False,True,55.0,no,mint_condition,Pfaffenhofen_an_der_Ilm_Kreis,True,2.0,1.0,False,A_PLUS
839.7,True,14.0,False,True,62.2,no,first_time_use,Bonn,True,2.0,1.0,True,A_PLUS
1440.0,True,1.0,False,True,120.0,no,first_time_use,Mettmann_Kreis,True,4.0,3.0,False,A_PLUS
750.0,True,1.0,False,True,88.3,no,mint_condition,Warendorf_Kreis,True,3.0,2.0,False,A_PLUS
845.0,True,1.0,True,True,86.0,negotiable,first_time_use,Wuppertal,True,3.0,0.0,True,A
950.0,True,1.0,False,False,85.0,negotiable,first_time_use,Bremen,True,3.0,2.0,False,A
790.0,True,1.0,False,True,76.7,negotiable,first_time_use,M?nster,False,2.5,3.0,False,A_PLUS
1010.55,True,1.0,True,False,71.67,yes,first_time_use,Dresden,True,2.0,7.0,False,B
1780.0,True,2.0,False,True,148.0,no,first_time_use,Karlsruhe_Kreis,True,4.0,4.0,False,A
900.0,True,1.0,True,False,89.0,no,first_time_use,Westerwaldkreis,True,3.0,2.0,False,A
1492.77,True,1.0,True,True,81.35,negotiable,first_time_use,Berlin,True,3.0,2.0,False,B
1010.0,False,1.0,True,True,93.0,negotiable,first_time_use,Kiel,True,3.0,0.0,True,B
789.0,True,1.0,False,True,66.97,negotiable,first_time_use,D?sseldorf,True,2.0,1.0,True,A
1300.0,True,1.0,False,False,130.0,negotiable,first_time_use,Lippe_Kreis,False,5.5,1.0,False,A
991.0,True,1.0,False,False,86.16,negotiable,first_time_use,Wiesbaden,False,3.0,2.0,False,A
1320.0,True,1.0,False,True,110.3,negotiable,first_time_use,Rhein_Erft_Kreis,True,4.0,0.0,False,A
820.33,True,1.0,True,True,87.83,negotiable,first_time_use,Dresden,True,3.0,0.0,False,A
860.0,True,1.0,True,True,70.65,negotiable,first_time_use,Mannheim,True,3.0,2.0,False,B
754.0,True,1.0,False,False,87.68,no,first_time_use,Heidekreis,True,2.0,2.0,False,A
1000.0,True,1.0,True,False,93.65,negotiable,first_time_use,Leipzig,True,4.0,2.0,False,B
680.0,True,1.0,False,True,60.0,no,first_time_use,Zollernalbkreis,False,2.0,1.0,True,A
2137.5,True,2.0,True,True,142.5,yes,first_time_use,Ebersberg_Kreis,True,4.0,2.0,False,A
525.0,True,1.0,False,False,58.38,negotiable,first_time_use,Rostock,True,2.0,0.0,False,A
1700.0,True,1.0,False,True,119.7,no,first_time_use,Stuttgart,False,3.0,2.0,True,C
1299.0,True,1.0,True,True,108.3,negotiable,first_time_use,Rostock,True,3.0,0.0,True,A
1342.11,True,1.0,True,True,114.7,yes,first_time_use,Leipzig,True,5.0,2.0,True,B
610.0,True,1.0,False,False,80.0,negotiable,first_time_use,R?gen_Kreis,False,2.0,1.0,False,B
663.0,True,1.0,False,True,86.0,no,first_time_use,Ostalbkreis,True,3.0,0.0,True,B
1126.0,True,1.0,True,True,102.0,negotiable,first_time_use,Oldenburg_Oldenburg,True,3.0,2.0,False,A
700.0,True,1.0,False,True,73.3,no,first_time_use,Augsburg_Kreis,True,3.0,1.0,False,A
925.0,True,1.0,False,True,74.0,no,first_time_use,Potsdam_Mittelmark_Kreis,True,2.0,1.0,False,A
1485.65,True,1.0,True,True,116.98,yes,first_time_use,Leipzig,True,4.0,3.0,False,B
1175.82,True,1.0,True,False,92.95,negotiable,first_time_use,Frankfurt_am_Main,True,3.0,2.0,False,B
1200.0,True,1.0,False,True,75.0,no,first_time_use,M?nchen_Kreis,True,2.0,2.0,True,A
475.0,True,1.0,False,True,55.8,no,first_time_use,Regensburg,True,2.0,1.0,False,A
583.34,True,1.0,True,True,43.21,negotiable,first_time_use,Duisburg,True,2.0,2.0,True,A_PLUS
1555.0,True,1.0,True,True,111.74,negotiable,first_time_use,Hamburg,True,4.0,2.0,True,B
990.0,True,1.0,True,True,105.54,negotiable,first_time_use,Passau,True,2.0,4.0,True,B
811.04,True,1.0,True,False,54.8,negotiable,first_time_use,Frankfurt_am_Main,True,2.0,0.0,True,B
335.22,True,1.0,False,True,72.09,no,first_time_use,Euskirchen_Kreis,True,3.0,1.0,False,A_PLUS
640.0,True,1.0,False,False,93.0,no,mint_condition,Emsland_Kreis,False,3.0,1.0,False,A
645.0,True,1.0,False,False,65.0,negotiable,first_time_use,Jerichower_Land_Kreis,False,3.0,0.0,True,A_PLUS
693.69,True,1.0,True,False,48.51,yes,first_time_use,Dresden,True,2.0,2.0,False,B
1080.0,True,1.0,True,True,90.0,no,first_time_use,Breisgau_Hochschwarzwald_Kreis,True,3.0,3.0,False,B
1690.0,True,1.0,True,True,91.3,negotiable,first_time_use,Frankfurt_am_Main,True,3.0,2.0,False,A
1075.0,True,1.0,True,True,94.0,negotiable,first_time_use,Stadtverband_Saarbr?cken_Kreis,True,3.0,3.0,False,B
690.0,True,1.0,False,False,62.66,no,first_time_use,Oder_Spree_Kreis,False,2.0,0.0,False,A
945.0,True,1.0,True,True,73.2,no,first_time_use,Bremen,True,2.0,0.0,False,A
963.83,True,1.0,True,True,77.23,yes,first_time_use,Leipzig,True,3.0,1.0,False,B
995.0,True,1.0,True,True,91.0,no,first_time_use,Segeberg_Kreis,True,3.0,2.0,False,A_PLUS
1050.0,True,1.0,False,True,121.81,negotiable,mint_condition,Coesfeld_Kreis,True,3.0,2.0,False,A
747.0,True,1.0,True,True,93.39,negotiable,first_time_use_after_refurbishment,Magdeburg,False,3.0,3.0,False,D
1098.0,True,2.0,True,True,129.0,no,first_time_use,Tuttlingen_Kreis,False,3.5,0.0,False,A
